Date,Rating,Title,Reviews
Apr 2,10,"Horrible service, costs me over $600","The night before the flight was to leave I get a notification that the first leg of my trip was delayed due to “pilot rest.” Fine, but because of this I will miss my connecting flight. Call customer service to make it right and after 1 hour (most of which was spent on hold) I’m told they can only give me a voucher for the first leg because the second was on time. ARE YOU KIDDING ME!? I CANT MAKE THE SECOND LEG BECAUSE OF YOUR ERROR! So rather than lose that amount I took the entire $707 full trip refund. I was able to get to my third leg of the trip via American Airlines for $495. When I rebooked my last leg of the trip it was $777!! More than the entire flight was previously for only 1/8th of the distance. I will never fly United again. They’re practically thieves. Do yourself a favor and fly another airline."
Apr 2,10,Unexplained Seat Changes,"Noticed several days before scheduled flight that seat I had selected in economy plus while making the original reservation was purged from system. Attempted to call customer service but was required to leave a call back number due to heavy call volume. An hour later I wad contacted by a Customer Service Representative (CSR). I explained that I was traveling with my wife and had paid for the seats I had chosen for extra leg room. My wife's original seat upgrade was still in the system but mine was not. The CSR suggested moving me to a seat one row behind my wife's seat that was not extra leg room. Fortunately, I was logged into the United website and noticed that there were still two seats left that were together one row forward with extra leg room. I basically did the CSR's job since I did not want to sit separate from my wife. The CSR stated he would refund the $150.00 I paid for the seat upgrades for the inconvenience of being inexplicably bumped from my seat. Today, as I was checking in for the flight, I noticed that my wife and I had been bumped from our extra leg room seats once again on the same flight. This time we were separated by a row and on opposite sides of the aircraft in middle seats at the rear. After calling United to speak to a CSR, I was required to hold for 40 minutes. When I spoke to the CSR he said the plane was full and no other seats were available. Once again, it was promised that I would be receiving a seat refund in 7 to 14 days. No explanation was provided as to why I would be bumped from side by side extra leg room seats with my wife in the center of the aircraft to split middlegbb row seats at the rear of the plane. Wasted a total of over 2 hours of time dealing with this issue twice after I had selected and paid for specific seats at the time of the reservation. No offer of any kind to compensate me for the inconvenience. Absolutely unacceptable. Will not be choosing United again for travel plans unless they can rectify their reservation system to address this issue. Very unprofessional!"
Apr 2,10,Keeps Delaying flight for no reason,Keeps Delaying flights for no reason and changing my flight to another day. THIS IS THE 5TH TIME. Got my seat and when trying to check in they be like its changed. TRASH AIRLINE AVOID THEM AT ALL COST
Apr 2,10,Pick another company,I have nothing good to say about United. Twice I have been screwed over where they have completely change my flights as soon as I’ve arrived at the airport. When I ask why they never give a reason. This causes taking extra time off work and more money lost without compensation. I’m not one to ever write reviews and I strongly recommend picking another airline company.
Apr 1,10,Worse than Spirit,"They canceled our flight a month after we booked it, and rerouted us with 2 stops. Said the only other option was to take a flight a day later, or refund our tickets. By then, all other airlines had pumped up their prices. Called multiple times... each time with holds of 56min, 58 min, worst was a 2 hour and 8 minute call. After the third call they put us on a flight with 1 stop, no more direct flights. They are unapologetic regarding their abysmal service. Never ever ever flying United again. Even Spirit is better."
Apr 1,20,Sneaky practices,"I booked a family trip using United. Again, as a family, in the airport we were assigned different seats so we had to pay an additional 150 dollars for two seats so my wife and son could be together... The problem is that there is no one to talk to because the process is done thru the automated tellers... Hopefully the same thing will not happen on our way back home... Last time I travel with United..."
Mar 2021,20,Not Clean,"United Airlines supposedly has enhanced cleaning protocols due to COVID-19. Not on this flight! My seat was dirty, the seat back pocket had food left in it and the bathroom was a disaster, toilet paper on the floor, no paper towels. Perhaps they are clean for the first flight of the day but not subsequent flights."
Mar 2021,10,Worst Flight Experience Ever,"There are no words. Charged first class premium, flew decrepit RJ for 4+ hours ORD - RNO. Horrible food service, horrible seeding, horrible aircraft, overall horrible experience. I have flown deep discount airlines like Frontier and Allegiant. Much worse experience. Avoid at all cost."
Mar 2021,10,Canceled our flight. Left us stranded with no way to get home,They canceled out direct flight two weeks before departure. They then routed us through Houston with a 45 minute layover ( and terminal change ) and put us in coach. When I called to see about other flight options I spent five (5) hours on hold I wound up driving to the airport to speak to a ticketing agent. The ticketing agent told me that there were no options for me to go home and that there was no way I would make the connection so I had to cancel the flight and then rebook with another airline for double the price in coach class with a layover in Detroit. This is a disgusting way to do business and they should be ashamed of themselves. I would’ve been stranded with no way home for two days.
Mar 2021,50,had extensive experience with United Airlines,"My wife and I have extensive experience with United Airlines. The food was fine and the entertainment was good with many movies. Legroom was not very good and the seats could be more comfortable. The performance of the staff was good. It's just a flight from Cancun to Washington, the food was bad, just a few snacks, and no entertainment other than an app on the phone. But for long-haul flights, everything was fine. I would recommend them and fly with them again."
Mar 2021,30,"Normally average, below average during Covid","The flight itself was fine and flight attendants do everything they can onboard, but seat spacing is nonexistent at this point and pre-boarding procedures could definitely be improved to prevent crowding"
Mar 2021,10,Never again,"Me and my family had a health emergency, tried to change flight and not only did we have to pay the difference of what the ticket was valued that day but then 50$ extra for booking the original tickets with a travel agency! Never again with UNITED"
Mar 2021,20,Very uninspiring,"Like everyone, adapting to travel during Covid. At check in, representative did not fully read the entry requirements for my final destination. They allow visa eligible passengers and they do not require covid testing to enter. She read the part about ""entry not permitted"" but did not scroll to the ""exceptions."" She just seemed content to stop reading there. She was nice and conversation civil, but I felt I had to prompt her to read on more than I should have.    Polaris lounge still not open. United Club did give me a voucher for premium beverage.    Flight was late departing and ORD was pretty much closed at 8 p.m. (not a criticism of the airline, of course). Flight was mediocre at best. Usual 20 minutes of announcements after take off. Their service is minimized to interact as little as possible. I had to put in my drink order when ordered the meal, which they bring together. No refills, no follow up to see if you have everything. They serve and are gone. Breakfast was sad. Prepackaged fruit cup and prepackaged cold croissant.    My remaining flights were LH economy and premium economy. Quality and presentation of food was actually better than UA business."
Mar 2021,10,Packed like sardines with people wearing thin neck gators with their nose hanging out,Will fly Delta. Delta leaves a seat between passengers. We are packed on top of each other and the man next to my husband has bis nose hanging out of his lightweight neck guard he is wearing as a mask! Didn’t we give our tax dollars to bail out the airlines! They should leave seats between passengers and require real masks!
Mar 2021,10,No social distancing,"The flight was full and there were no measures taken for social distancing by the company or the attendents. Masks were mandatory but thats not the only thing needed during Covid. Only hand sanitizer wipes were given which I used to wipe down the tray tables and my seat.    Even while boarding, people just barged in the flight in no order and there was nothing done by the attendants to ensure social distancing.    I was uncomfortable during the entire 5 hour duration of my flight. I expected the airlines to book only alternate rows for passengers and maintain distance during Covid.  Will not be taking United airlines again espeically during Covid."
Mar 2021,10,Be careful with this scam company,"This company is a huge scam. Today they didnt allow me to board the flight to go home. I came to Cancun on March 19 from Moscow, Russia with a layover in Frankfurt for 5h. The reason why they denieded to board me today was that I didnt accomplish my quarantine (14 days) as a non US citizen as mentioned on their website. However, I was in a transit zone, that is not considered as Shenzhen union. So basically no information about these regulations was provided on their website that would make it clear for people like me who are trying to flight through the US back to their country."
Mar 2021,10,Customer service sucks!,"We purchased first class tickets for a trip and when they changed the aircraft bumped us to Economy. Totally unhelpful and pretty much tough Sh%%. I will NEVER purchase a ticket on United again, they are HORRIBLE!!!"
Mar 2021,10,flight,"terrible, flight delayed due to “no crew” and flight was uncomfortable, flight attendants were also impolite and service was not good."
Mar 2021,10,Come on man,I understand the policy I agreed to to fly concerning mask. I would like to add the first airline to lift this policy will receive my business in the future.
Mar 2021,10,"Terrible Customer Service, Quality, and Enjoyability","United Airlines is the worst airline I have ever been on. They refused to help my family and I and forced me into a line, where I’ve been standing for nearly an hour. They do not answer our questions properly, and just cram us into a line with no further context. Absolute 💩"
Mar 2021,40,Better than others,"Having to take an impromptu flight to Tucson from New York for emergency family issues we flew American to Tucson and United from Tucson to Houston then Houston to New York. This review is not about American however having flown American first then United home allowed for easy comparison and United’s service was for better. Things I like about United: the plane boarded from the back forward. This allowed for an efficient process. My husband and I almost always fly first class and have found that when the planes are boarded from the front people block the aisle impeding efficient boarding. However Military, Elite United members and First class Boarded early too. Esteban the first class flight attendant far exceeded our expectations he was efficient and for the first time thanks to him I learned why window shades need to be open during takeoff and landing. Thank you Esteban. If you fly United with him U2 will find out why. United served a satisfying tapas box And premium drinks. This embarkation rules were clearly explained and we deplaned five rows at a time from the front of the plane back. Because passengers were thoroughly informed of the process,all complied and it went smoothly. Nice job United airlines my wish is that other airlines would look at what you do and emulate it."
Mar 2021,10,Problems with new United Sarasota to Houston service,Hassles with charges for luggage that I had to spend and hour on the phone to United to get refunded. Pre-TSA not recognized and long lines.through security .
Mar 2021,10,Canceled without notifying us,"I have been burned by United many times before, and I think I have finally learned my lesson. Our family booked flights to Cairo on United/Lufthansa for this week. Four days before departure I checked the app to be sure everything was set, and I noticed the flight from Frankfurt to Cairo is missing. After three hours on the phone I was told the flight was canceled - no email, text or call to let me know. I asked what would have happened as Americans cannot stay in Germany due to COVID. The representative said we would have been placed on a flight back to the U.S. and then caught a flight to Cairo a few days later. This is United's solution. Of course, we had hotels and plans already booked on our set dates.    I then said I was willing to drive to Denver to catch a flight on the same dates as our originally plans at which point I was told that he can book these for me for an additional $1200 per ticket. Unbelievable... When I asked for a refund the representative agreed and said the money will be refunded in 10-14 days. I am holding my breath. This has to be the worst airline in the world."
Mar 2021,10,Horrible Customer Service,"United has somehow concluded that COVID means no customer service. I had 2 flights with United since the pandemic and both were awful experiences. Rude flight attendants. This flight in particular I even overheard the flight attendant mumbling sarcastically about me under her breath as I was walking away. At this point I don't even need top quality customer service, I would settle for the employee's just not being straight rude. This was 2nd and very last time flying United."
Mar 2021,10,Beware of bogus baggage fees when taking sports equipment on United,"On a recent trip to Cancun, we checked in to the fishing rods. It was designed to meet the specifications from the United website which is that it must be less than a total of 115 linear inches. It’s a total of 108” or 92” plus 4” plus 4”. The agent was about to check in the tube and a manager, Debi King, came over and insisted that they needed to charge for the tube. She said it couldn’t be more than 80 inches. I told her I had checked the policy and was sure it could be 115 total linear inches    She raised her voice, and when I asked her to actually check the policy she actually started shouting at me. I protested further, knowing that I was allowed to take the rod by the United package policy standards since this was not the United express flight and she got more vocal, embarrassingly so.    Seeing that if I was going to get to take the fishing rods at all, I would have to agree. I reluctantly did, and was told I was being charged a $100 fee.    Afterwards, with some time to check the policy again, it was clear I shouldn’t have been charged. I filed a complaint with United. They apologized for the agents behavior but would not refund the fees, even when I sent them video footage of the rod tube with measurements. I was shocked. I’ve been a loyal customer with them for over 20 years and the United mileage plus member for as long as I can remember. The agent clearly charged me based on the wrong information. But they wouldn’t correct her error.    I then went to dispute the charge on my United mileage plus credit card. The charge showed $200 instead of the $100 which I was told. Wow. Now it felt dishonest and vindictive.    I’m a reasonable guy and living in Denver United is often convenient for me. I’m sure I still will when the price is right and I need to. I fly a lot and I usually take those fishing rods with me. Whenever I can though, I’ll be looking at other options anytime we fly because United of the price has blown my trust. I understand a crabby agent making a mistake, even though it shouldn’t happen, but when the company itself doesn’t back up their own policies it’s a real issue."
Mar 2021,10,Absolute WORST airline ever!!!!!,"United has the ABSOLUTE WORST customer service I have ever experienced! I am a frequent traveler on other airlines, but had to take United during one of my trips. I cannot believe how horrible their hold times are, I was on hold three different times over an hour each time, and the agent hung up on me twice. I would NEVER recommend this airline to anyone. I think their business practices are unacceptable, and during covid, they refused to do a simple exchange. I have no words for this organization outside of DO NOT book with them!!"
Mar 2021,40,So Empty!,"The plane was really new, noticeably clean, and very empty. The inflight entertainment was expansive and easy to use. No complaints."
Mar 2021,10,Customer Service - Do they even understand what a customer is?!,"First off, we had 2 flights booked with them in 2020 both of which got cancelled. OK, not their fault. But they didn’t offer a full refund! We had to take credit where other airlines were giving refunds. Ok so we decided we’ll just rebook the same flights in 2021. Mind you we had booked first class tickets in 2020 since it was a special trip to celebrate our 25 anniversary. So we tried to book first class again; plenty of seats available but they cost more for 2021 than our original purchase in 2020! Ridiculous! So we booked premium economy since our credit didn’t cover the first class anymore and we booked nonstop. Well our nonstop got change to a 3 hour layover and a much later flight which gets us home 10 hours later! So I call and they have no other options for me. Will they upgrade me to first class to make it right, no. So not only did we not get our FC tickets, we also lost our nonstop flight, worse seats, long layovers, and have to pay for luggage. NEVER will I choose United again if given a choice. Other airlines understand customer service. I will pay more for other airlines to get the customer service especially when it matters in long flights like this and when trying to celebrate something special. We will be uncomfortable and stressed now for the flight instead of being able to truly enjoy that which has been planned for so long."
Mar 2021,10,NO CHANGE FEE BOOKING,this no change fee is a BIG FRAUD. I booked tickets for the family to go to Paris and thought since there is no change fee I can use the tickets for domestic travel.  however if the cost of the new ticket is less then that of the ticket initially purchased you lose all the money. Each of my tickets were 1350 each and if a book a domestic ticket for 500 well I lose the remaining 850 . BIG FRAUD while the airlines take free taxpayer money!!!!!
Mar 2021,10,A united flight is going to be my last option AFTER trying to avoid travelling. HORRENDOUS!,"I travelled from Seattle to Delhi on business class. Flight was routed through Chicago. The united flight attendants are not just some of the worst flight attendants, they are perhaps generally bad people. And its not one or two, its all of them. Here are some excerpts from the flight:    1. They wouldn't take my jacket to the closet. When asked, rude face and expression. I probably should have apologized for asking for business class service while traveling business class    2. They don't work. If I have an empty cup on my seat, it will remain on my seat until the end of time. They will sit in their attendant seats and chat away to glory for their 8 hour shift. and LOUDLY! But they wont work.    3. God forbid if you ask for something. I asked for a drink. First, they brought me completely different from what I asked for. I asked for one drink and they brought me 2 so they wouldn't have to come again. When I took the drink back to them, they took it and I kid you not, ""slammed"" 3 drinks in my hand. Perhaps frustrated that someone was asking them to do their job.    4. Wake me up while sleeping. Usually airlines will ask you whether you want to be woken up or not if you are sleeping and they would make sure you have a comfortable experience. United does it a little differently. They don't ask you. They just wake you. Even if its for an extremely small thing and not even a meal    4. I tried to attribute all of this to racism. And thought that they just want to treat Indian people differently. But I was completely wrong. My american colleagues were in the subsequent flights. and they had similar or worse experiences. That's 3 business passengers that United just turned off from flying them again."
Mar 2021,10,Terrible communication,"We just returned from a ski trip to Colorado. Our outbound flight was canceled due to snow storm. We were issued minimal refund for this flight that the weather canceled, not United fault but I should not pay for a flight I could not use and had to pay extra to another airline to fly into another airport that was open.  Then our return flight was increased in price as we had to fly out on a different airline.  Returning our aircraft broke not their fault this happens but through terrible communication we were promised another plane was coming to bring us home. We sat in the airport all day waiting for the new plane to arrive. When we boarded the plane they told us the crew had no time left to fly us home. They should have known how many hours the crew had left to fly that day. We were then bused to a busted motel that then told us we could not stay as United did not pay them the last time they had people stay there. We then bussed back to the airport. We were then put in an even worse motel I asked the agent if she would stay there with her kids and she said no. We had to stay in an incredibly unsafe motel overnight. Then the next day we were finally able to fly home and did not get our upgraded seats. We were then given minimal travel credit to use on future flights. Obviously will never use this airline again."
Mar 2021,20,Not an airline I look forward to flying on,"Early departure on a midweek flight should be easier than this. Long lines at ticket counter and only one agent to assist customers guarantees an anxiety filled start to the travel day. Of the four kiosks available, one was out of service, 2 could not complete transactions for the customers ahead of us and the fourth was being utilized by the agent for check-in assistance....recommend on-line check in for this airport and hope you don't have to check bags. Arrival at DEN the UA Express aircraft routinely park at the far end of the B terminal....long, long. long walk to the center core to catch train to the terminal or connecting gate.."
Mar 2021,50,Love it!,Best trip I was very relax and comfortable 1000000 times better then spirit airlines  My next trip will be with United airlines...  I will recommend my friends about United airlines
Mar 2021,20,COVID virus,Went to Hawaii empty seat between us. On the back no empty seat . We where stuff in like sardines. They didn’t care about COVID safety. We sat next to people we didn’t know . When u eat and drink no mask. United must think the COVID virus is over. No procedure for COVID safety. Check another airline. United don’t care.......
Mar 2021,10,Worst flight ever,"This was our first time flying United and it was the worst flight experience I’ve had. United set us up to fail from the beginning. This airline was concerned with how I was wearing my mask more than me safely boarding my flight in time. We flew from San Antonio to Boise with our connecting flight in Denver. Our first flight boarded 20 minutes late, which was announced by United on my United app to be due to waiting for passengers from the plane’s previous flight. After boarding, they announced the flight would be 35 more minutes late due to technical difficulties. During the flight we expressed our concern about missing our flight and the flight attendant said they knew we were late and our next flight would wait for us. While in the air, I messaged United through the app and did not receive a response in time. We were not allowed to get off the plane first, but once we did we sprinted from B37 to A77 (and almost passed out having to wear masks) in Denver’s airport (including a train ride), but they had boarded without us, even though we got there at 3:43 and the flight was scheduled to leave at 3:45. Oh yeah and they gave us $10 food vouchers that bought us some charred (aka burnt) brussel sprouts. Thanks United. If I could give them 0 stars I would."
Mar 2021,20,Blown chance to make customers feel special,I’m amazed looking at this flight to Roatan that the front 20 rows are almost devoid of people flying. Here was a fantastic opportunity for United to have their customers (those that keep them flying) move up to the comfortable seats up front. What a great gesture it would have been to make the folks in the back of the plane feel like valued and special people when the plane was empty. These are the types of oversights and missed opportunities that will eventually reflect on United’s bottom line.
Mar 2021,10,First Class is not necessarilly first clase,"It turns out that in First Class the 1K members get preferential treatment even though you may have paid for a full price first class ticket. The flight attendant was skipping around the cabin taking food orders from only the 1K members first, So even though you pay full price first class rates you are treated like a second class citizen. Now, I understand that United is going to conceal this practice by taking all food orders at the same pass, then later sorting out the 1K members and giving them their choice, and the non-1K first class passengers get what is left over. So, if the person behind you and the person in front of you get the chicken sandwich you wanted, it's because they are 1K and you are not.    They should really be forced to disclose this practice so people can decide whether to fly United, or not, or to simply go ""no-frills""    In addition, they advertised ""leaving the middle seat open"" to minimize your exposure to Covid, then as soon as they cut back the flights enough to fill the middle seat, it changes to you can take the next flight if you don't like the middle seat next to you being filled.    United abuses its leading market share to take advantage of its customers at every turn. Fly another airline if you possibly can."
Mar 2021,10,Terrible customer service when using credit,"Zero stars. Cannot recommend. Had tickets booked for thanksgiving but had to cancel due to covid. Was forced to pay a fee in order to keep the ""credit"" for this flight to rebook at a later date. There is no way to use credit online through their site, you must call one of their booking agents. I had pulled up the flight I wanted on their website and could see that the price was significantly less than my credit, however the booking agent still charged me another $100, assuring me that I owed more money and could not explain why her price differed from what I could see with my own eyes. She assured me she would be passing on my concerns and someone would be in touch to explain, that never happened.  To make matters worse, my return flight was cancelled due to weather and their online options for choosing a new flight are TERRIBLE. My flight was cancelled twice with email notifications. On the day I was flying out I found out AT CHECKIN that my new return flight was also cancelled!!! There had been zero email or text notification. Thank goodness we happened to be at the airport extremely early and were able to choose a new flight at the kiosk but this was absolutely abysmal customer service on their part with the lack of fore-notice.  I will never fly with them again."
Mar 2021,10,A 3 hour delay on a clear day. From ORD,How can United Airlines not come up with a flight crew from Chicago for a simple hop to Boston. What a clown show!
Mar 2021,50,Wonderful Experience,"I have been traveling united for last 10 years at least but experienced something unique this time so thought of sharing here. I traveled from Houston to Delhi to attend a family emergency and forgot my headphones on the flight at delhi airport. United Lost & Found somehow got hold of my headphones and made an entry in the system. These headphones were gifted by a family member and were priceless for me. on my return journey, i requested two United associates (Kapil Yadav & Puneet Khatkar) on the delhi airport to find my headphones and in spite of their busy schedule they tried but couldn't find them. They assured that they will keep trying so i came back to US. After a few days, i got an email from Kapil and Puneet that they finally located my headphones and apparently there was some date error in the system that caused the confusion. finally yesterday, i received my headphones back through FEDEX at my home address in US. Wonderful gesture and i am very thankful to Kapil, Puneet and United Airlines."
Mar 2021,20,No departure notice of flight cancelled.,"Hello fellow travelers.    Unfortunately, after reaching out to United Airlines feedback (Stephanie). With only a sorry response to a United Airlines credit card holder.    I am writing about my negative experience.  January 2021 I made a reservation to Liberia, Costa Rica and a return from San Jose, CR for two. In March 2021 the day of my departure I called UA customer service and find out that my flight was cancelled with no notification after an 1/2 hold time on the phone. No more flights to Liberia that day only to San Jose at a later time. I had to cancel my Airbnb room, Payless car rental and a fishing charter out of Playa del Coco. I had to forfeit deposit money as well as lost a day of our vacation.    If you read this never assume your departure flight is a go without checking way in advance of that date. Good luck and happy travels.    Best regards,    Bill Kiley"
Mar 2021,50,Excellent Customer Service,"Under the pressure of COVD and rules changing daily the pressure these employees go through is insane, yet they all have kept there heads up, friendly service to help and stay in compliance. I had to miss three flights due to circumstance out of control. COVD testing getting back late, change flights, a freak winter storm that delayed over another 2 days, government issuing confusing messages. With all the phone calls and standing with desk agents in three states and two countries all her professional and courteous. HIGH FIVES all around. Well Done."
Mar 2021,10,Scam! Customer service and certificate pins a scam!!!,United Airlines allegedly must have someone working on the inside using ( COVID-19 cancellations with reimbursements ) for customers .
Mar 2021,10,Delays on delays,Pretty bad in terms of delays - tried to blame on weather but was due to the fact that they overbooked and didn’t have catering ready - 2 hour delay so everyone could get one of their horrible crackers!!!
Mar 2021,10,Flight Cancelations,"My family and I took a spring break vacation to Flagstaff Arizona. The flights there were fine despite the flight attendants being a little cranky. We got here and our flight back got cancelled. We frantically found another. This one was a day later than the first. It gets cancelled day of. We try again, book it. It gets cancelled. They are no help in finding other ways to get you home. We needed a flight back to Omaha or Lincoln. Looked into Kansas City even. Nothing for a few days. We are all missing work, college, and high school for this. Important things are going on back home that we can not attend and will have consequences for. All I have to say is don't fly with them if you want your trip to be as stress free as possible. My family is beyond over this vacation."
Mar 2021,10,Changed flight without authorization or notification,"I just flew back from Florida and thank God I called to check in to my flight the night before! When I called they told me my flight was changed to fly out on a completely different date and with a layover, which was not my original ticket. When I tried to get switched back to my original flight which I booked in December, I was told there were no longer seats available and my flight was full. I was able to fly out from Orlando with a connection in Houston, arrived late to Chicago. On top of it my daughter suffers from inner ear problems and that’s why we never fly with a connection, the landing is incredibly painful for her. So now she had to suffer through 2 landings. Flight from Houston was horrible, packed, people not wearing masks and putting others at risk and United did nothing. They did nothing to try to help me! They acted like they were doing me a favor by getting me on a flight through Houston when it was their error in the first place. They wanted to compensate me $100 for the inconvenience, but acted like this was going above and beyond to rectify the situation. I really just wanted back on. The flight I purchased. I’m not sure how they could just switch someone’s flight without authorization and not even send me a notification. If I did not check in the night before and discover the error I would have been stuck in the airport with 2 children for 24 hours. They really do not care about inconveniencing any one. The bottom line is not quality of service , it’s all about how much money they can make for themselves. Who cares about the customer!"
Mar 2021,10,Not following federal mandate no masks,I flew a packed flight in February from Houston to Chicago. 2 men refused to wear masks and United did not care. No announcement was made to wear masks and attendants walked by and refused to notice. Attendants seemed exhausted and carefree about regulations.
Mar 2021,10,United Airlines is the Worst Airline Available (Would give 0 stars for service”,"I had booked a flight in early 2020 before the pandemic hit, obviously everything got cancelled. United gave me a credit or voucher type of thing. I tried booking a new flight and it wouldn’t let me add my minor children, and when I called them, the customer service was horrid. The agent was super rude with no patience at all. I would not recommend United Airlines and every time I have flown with United I have always had a bad experience! I cannot stress this enough: the customer service deserves a negative rating!"
Mar 2021,10,LOST LUGGAGE - BARELY ANY SETTLEMENT!!,"LOST $5K WORTH OF LUGGAGE IN JANUARY 2021 AND ONLY AGREED TO REIMBURSE $1900!!    Flying international in December 2019 - January 2021. Lost one of my two bags. Pre-approved me for delayed bag expenses totaling approximately $650. 7 weeks later, yes SEVEN WEEKS they made me wait!! Never paid the expenses, never sent me a settlement letter or email. Mailed me a check for a mere $1900. Called them many times, supervisors won't take my call and claims won't respond to emails. Said claim is settled. I submitted a claim for almost $5K 6 weeks prior, even submitted receipts for items exceeding $100. HORRIBLE! DO NOT FLY! They will lose your luggage and not return phone calls/emails, and only reimburse you pennies on the dollar and NO expenses."
Mar 2021,50,IAD 49 minute layover,I have a 49 minute layover in IAD. Both the flight from BUF to IAD and IAD to MYR are regional flights on an RJ-145. Is 49 minutes enough of a layover? I looked at the map and it looks like IAD has the United Regional Flights gates all in one section?
Mar 2021,10,Change to Flight without notification,"I originally booked a non stop flight from SFO to MCO on April1,2021. I have a group of 12 passengers flying with United at the same time on the same flight. United has changed my flight with out a notification. The reason I selected the non stop flight is due to my daughter has anxiety traveling. Now we have a stop in IAH which I did not want to stop. The changes to this flight requires us to get a hotel now which is a big inconvenience. We was arriving in MCO at 7:15am on 4/2/21. Now United has us traveling for 8 hours with a stop in IAH and arriving in MCO at 11:00pm on 4/1/21. I have to make a lot of changes to my schedule with a group of 12 passengers. This is not considered to the passengers who made the reservation and booking the flight red eye so folks will not miss work nor school. I have to change my transportation to the airport.    The reason its so upsetting is because we had other options to travel with. Now we stuck traveling with United due to prices has went up on other airlines.    This is the 2nd time United has changed my flight within a year to what its best for them. The reason for booking ahead of time is for proper preparation. I never received a email notification on the changes but I did received the confirmation email.    Trying to address the issue with United. I was on hold for 45 minutes.  United just lost a loyal customer."
Mar 2021,20,Disappointed,My family has been a loyal costumer and has bought hundreds of thousands of dollars in flights over the years. Recently it seems as if United airline simply does not care about its costumers and constantly cancels or delays their flights without notice. Additionally after these cancelations I have had multiple encounters with rude and unhelpful costumer service representatives. They need to step it up cause as of now I’m switching to delta.
Mar 2021,10,This company is the biggest excuse for a airline transportation ways,"Me and my wife planned a honeymoon to Mexico this coming April 2021. United changed our flights without notice and gave us a missconecton flight. After trying all their ways of communication, and be on hold for over 3 hours. They didn’t offer other another way, they just canceled the flight. Now I had to cancel my whole vacation that was planned over 6 month ago. Without even an apology! Sucks!"
